scenario_id,train_type,initial_speed,grade,weather,sensor_0_entry,sensor_1_entry,sensor_2_entry,time_0_to_1,time_1_to_2,time_0_to_2,speed_0_to_1,speed_1_to_2,ETA,sensor_0_pos,sensor_1_pos,sensor_2_pos
0,freight,54.037459904943546,-1.24646246680136,rain,19.0,74.0,110.5,55.0,36.5,91.5,70.69090909090909,79.89041095890411,36.01,2700.0,1620.0,810.0
1,freight,55.1968456296041,0.6328739974703428,fog,21.0,99.5,158.0,78.5,58.5,137.0,49.52866242038217,49.84615384615385,58.85,2700.0,1620.0,810.0
2,freight,50.07631631136265,-0.29216576127667127,rain,21.0,93.0,145.0,72.0,52.0,124.0,54.0,56.07692307692308,51.58,2700.0,1620.0,810.0
3,express,127.73471364193409,-1.4104799584720618,fog,8.5,37.0,57.0,28.5,20.0,48.5,136.42105263157893,145.8,19.19,2700.0,1620.0,810.0
4,freight,76.45911227248045,-1.5366406621500923,clear,14.0,62.5,99.0,48.5,36.5,85.0,80.16494845360825,79.89041095890411,36.1,2700.0,1620.0,810.0
5,freight,71.7218418382953,0.6565481695937159,clear,16.0,75.5,121.5,59.5,46.0,105.5,65.34453781512605,63.39130434782609,46.41,2700.0,1620.0,810.0
6,passenger,112.59842426004164,0.44381044613902665,rain,10.0,44.0,69.5,34.0,25.5,59.5,114.3529411764706,114.3529411764706,25.42,2700.0,1620.0,810.0
7,freight,74.95756178312128,-0.5743776591089187,clear,14.0,63.0,99.5,49.0,36.5,85.5,79.34693877551021,79.89041095890411,35.96,2700.0,1620.0,810.0
8,passenger,63.386112746975016,-1.2508290044032382,clear,16.5,66.0,97.5,49.5,31.5,81.0,78.54545454545455,92.57142857142858,29.09,2700.0,1620.0,810.0
9,express,117.01072479901438,1.900660939271578,clear,9.5,43.5,69.5,34.0,26.0,60.0,114.3529411764706,112.15384615384616,25.12,2700.0,1620.0,810.0
10,passenger,61.169172570982894,-1.248194030180143,clear,17.0,68.0,100.0,51.0,32.0,83.0,76.23529411764706,91.125,29.57,2700.0,1620.0,810.0
11,passenger,86.64792509237671,-0.3475341154020506,rain,12.5,57.0,90.0,44.5,33.0,77.5,87.37078651685393,88.36363636363637,32.37,2700.0,1620.0,810.0
